time,agent,orderId,locX,locY,isPick
0,0,0,3,3,0
1,0,0,2,3,0
2,0,0,1,3,0
3,0,0,1,4,0
4,0,0,1,5,0
5,0,0,1,6,0
6,0,0,1,7,0
7,0,0,1,8,0
8,0,0,1,9,0
9,0,0,1,10,0
10,0,0,1,11,0
11,0,0,1,12,0
12,0,0,1,13,0
13,0,0,1,14,0
14,0,0,1,15,0
15,0,0,1,16,0
16,0,0,1,17,0
17,0,0,1,18,0
18,0,0,1,19,0
19,0,0,1,20,0
20,0,0,1,21,0
21,0,0,1,22,0
22,0,0,1,23,0
23,0,0,1,24,0
24,0,0,1,25,0
25,0,0,2,25,0
26,0,0,3,25,0
27,0,0,4,25,0
28,0,0,5,25,0
29,0,0,6,25,0
30,0,0,7,25,0
31,0,0,8,25,0
32,0,0,9,25,0
33,0,0,10,25,0
34,0,0,11,25,0
35,0,0,12,25,0
36,0,0,13,25,0
37,0,0,13,24,0
38,0,0,13,23,0
39,0,0,13,22,0
40,0,0,13,21,0
41,0,0,13,20,0
42,0,0,13,19,0
43,0,0,13,18,0
44,0,0,13,17,0
45,0,0,13,16,0
46,0,0,13,15,0
47,0,0,13,14,0
48,0,0,13,13,0
49,0,0,13,12,0
50,0,0,13,11,0
51,0,0,13,10,1
179,0,0,13,10,0
180,0,0,13,11,0
181,0,0,13,12,0
182,0,0,13,13,0
183,0,0,13,14,0
184,0,0,13,15,0
185,0,0,13,16,0
186,0,0,13,17,0
187,0,0,13,18,0
188,0,0,13,19,0
189,0,0,13,20,0
190,0,0,13,21,0
191,0,0,13,22,0
192,0,0,13,23,0
193,0,0,13,24,0
194,0,0,13,25,0
195,0,0,12,25,0
196,0,0,11,25,0
197,0,0,10,25,0
198,0,0,9,25,0
199,0,0,8,25,0
200,0,0,7,25,0
201,0,0,6,25,0
202,0,0,5,25,0
203,0,0,4,25,0
204,0,0,3,25,0
205,0,0,2,25,0
206,0,0,1,25,0
207,0,0,1,24,0
208,0,0,1,23,0
209,0,0,1,22,0
210,0,0,1,21,0
211,0,0,1,20,0
212,0,0,1,19,0
213,0,0,1,18,0
214,0,0,1,17,0
215,0,0,1,16,0
216,0,0,1,15,0
